Conferencia|Ciudad|Pais|Fecha|Paper|Autores
4th Norwegian Big Data Symposium|Trondheim|Norway|2018|Invited Talk: From Big Data to Smart Data: Changing Behavior with Online Communication|Anna Fensel
4th Norwegian Big Data Symposium|Trondheim|Norway|2018|Invited Talk: The Bright Future of News Automation|Carl-Gustav Linden
4th Norwegian Big Data Symposium|Trondheim|Norway|2018|Towards a Big Data Platform for News Angles|Marc Gallofre Ocana, Lars Nyre,  Andreas L. Opdahl, Bjornar Tessem, Christoph Trattner, Csaba Veres
4th Norwegian Big Data Symposium|Trondheim|Norway|2018|Semantic User Behaviour Prediction in Online News|Nina Kjekstad, Elida Karina Reknes
4th Norwegian Big Data Symposium|Trondheim|Norway|2018|Designing Flink Pipelines in IoT Mashup Tools|Tanmaya Mahapatra, Ilias Gerostathopoulos, Federico Fernandez, Christian Prehofer
4th Norwegian Big Data Symposium|Trondheim|Norway|2018|A Big Data Management Architecture for Smart Cities based on Fog-to-Cloud Data Management Architecture|Amir Sinaeepourfard, John Krogstie, Sobah Abbas Petersen
4th Norwegian Big Data Symposium|Trondheim|Norway|2018|On the Difficulties of Using Machine Learning on Industrial Texts|Ozlem Ozgobek, Ole Selvig, Jon Atle Gulla, Lemei Zhang, Cristina Marco
Italian Conference on Cyber Security|Pisa|Italy|2019|A QBDI-based Fuzzer Taming Magic Bytes|Elia Geretto, Cédric Tessier, Fabio Massacci
Italian Conference on Cyber Security|Pisa|Italy|2019|Twitter Spam Account Detection by Effective Labeling|Federico Concone, Giuseppe Lo Re, Marco Morana, Claudio Ruocco
Italian Conference on Cyber Security|Pisa|Italy|2019|A Brief Tour of Formally Secure Compilation|Matteo Busi, Letterio Galletta
Italian Conference on Cyber Security|Pisa|Italy|2019|From Firewalls to Functions and Back|Lorenzo Ceragioli, Letterio Galletta, Mauro Tempesta
Italian Conference on Cyber Security|Pisa|Italy|2019|Combining System Visibility and Security Using eBPF|Luca Deri, Samuele Sabella, Simone Mainardi
Italian Conference on Cyber Security|Pisa|Italy|2019|Teaching Cyber Security: The HACK-SPACE Integrated Model|Maria Teresa Baldassarre, Vita Santa Barletta, Danilo Caivano, Domenico Raguseo, Michele Scalera
Italian Conference on Cyber Security|Pisa|Italy|2019|Integrating Access Control and Business Process for GDPR Compliance: A Preliminary Study|Antonello Calabrò, Said Daoudagh, Eda Marchetti
Italian Conference on Cyber Security|Pisa|Italy|2019|Towards User Recognition by Shallow Web Traffic Inspection|Marino Miculan, Gian Luca Foresti, Claudio Piciarelli
Italian Conference on Cyber Security|Pisa|Italy|2019|Explaining Vulnerabilities of Deep Learning to Adversarial Malware Binaries|Luca Demetrio, Battista Biggio, Giovanni Lagorio, Fabio Roli, Alessandro Armando
Italian Conference on Cyber Security|Pisa|Italy|2019|Darknet Security: A Categorization of Attacks to the Tor Network|Enrico Cambiaso, Ivan Vaccari, Luca Patti, Maurizio Aiello
Italian Conference on Cyber Security|Pisa|Italy|2019|A Bayesian Network Approach for the Interpretation of Cyber Attacks to Power Systems|Davide Cerotti, Daniele Codetta-Raiteri, Giovanna Dondossola, Lavinia Egidi, Giuliana Franceschinis, Luigi Portinale, Roberta Terruggia
Italian Conference on Cyber Security|Pisa|Italy|2019|Towards the Hypervision of Hardware-based Control Flow Integrity for Arm Platforms|Giulia Ferri, Giorgiomaria Cicero, Alessandro Biondi, Giorgio Buttazzo
Italian Conference on Cyber Security|Pisa|Italy|2019|Six Things I Hate About You (in Italian) and Six Classification Strategies to More and More Effectively Find Them|Tiziano Fagni, Leonardo Nizzoli, Marinella Petrocchi, Maurizio Tesconi
Workshop on Computational Methods in the Humanities 2018|Lausanne|Switzerland|2018|Identification and quantification of colours in children's drawings|Christelle Cocco, Rapha&euml;l Cer&eacute;, Aris Xanthos, Pierre-Yves Brandt
Workshop on Computational Methods in the Humanities 2018|Lausanne|Switzerland|2018|Clustering writing components from medieval manuscripts|Mats Dahll&ouml;f
