"Universidad de los Andes","Unknown","3000"
"Privacy-Preserving Data Mining","Unknown","2000"
"Performance pay and top-management incentives","JOURNALOFPOLITICALECONOMY","1990"
"Human Papillomavirus Vaccination in","Unknown","3000"
"An experimental comparison of three methods for constructing ensembles of decision trees","Bagging,boosting,andrandomization.MachineLearning","2000"
"P.: A comparison of bayesian methods for haplotype reconstruction from population genotype data","Am.J.Hum.Genet","3000"
"Correspondence to: Antonios-Aposto-","Unknown","2009"
"Grammatical Constructions and Linguistic Generalizations: the What&apos;s X Doing Y? Construction","Language","1997"
"Where the Wild Things Aren?t Making the Delta a Better Place for Native Species","Unknown","2012"
"Subcommittee on Nutrition","Unknown","1991"
"for Bacteria Impairments","Unknown","3000"
"UNIVERSIDAD DE OVIEDO Departamento de Inform?tica TESIS DOCTORAL","Unknown","3000"
"Astrocyte Proliferation Following Stroke in the Mouse Depends on Distance from the Infarct","Unknown","2011"
"Carbapenemases: the Versatile ?-Lactamases","Unknown","3000"
"VO: Vaccine Ontology","Unknown","3000"
"RHex: A simple and highly mobile hexapod robot","Unknown","2001"
"State Transition Analysis: A Rule-Based Intrusion Detection Approach","IEEETRANSACTIONSONSOFTWAREENGINEERING","1995"
"COMPARATIVE STUDY OF POLYMORPHISM LEVEL, DISCRIMINATION CAPACITY AND INFORMATIVENESS OF AFLP, ISTR, SSR AND ISOENZYMES MARKERS AND AGRO-MORPHOLOGICAL TRAITS IN AVOCADO","Unknown","3000"
"OF THE REQUIREMENTS FOR THE DEGREE OF DOCTOR OF PHILOSOPHY IN ART STUDIES AND PRACTICES BY","Unknown","3000"
"Effects of Locus Bean Gum, Kappa Carrageenan and Iota Carrageenan on the Syneresis, Texture and Some Sensory Characteristics of Cooked Ham","Unknown","3000"
"Is caregiving hazardous to one?s physical health? A meta-analysis. Psychol Bull","Unknown","3000"
"1 ENTREPRENEURIAL DEVELOPMENT IN A NATIONAL BASIS","Unknown","3000"
"MULTOPS: a data-structure for bandwidth attack detection","in10thUSENIXSecuritySymposium","2001"
"A Taxonomy of Wireless Micro-Sensor Network Models","ACMMOBILECOMPUTINGANDCOMMUNICATIONSREVIEW","2002"
"Research article Frequency of eNOS polymorphisms in the Colombian general population Open Access","Unknown","3000"
"vaccines: Update","Unknown","2009"
"UNIVERSIDAD DE CARABOBO","Unknown","3000"
"Optimizing Multiples Objectives in Dynamic Multicast Groups using a probabilistic BFS Algorithm","Unknown","3000"
"Review of aerosol transmission of influenza A virus in Emerging Infectious Disease? November 2006. Available from www.cdc.gov/ncidod/ EID/vol12no11/06-0426.htm Training and Education The CDC?s Emergency Preparedness and Response web site provides a link f","Unknown","3000"
"Entrez Gene: gene-centered information at NCBI","NucleicAcidsRes","2007"
"Mar?a del Pilar Garc?a Mayo","Unknown","3000"
"Instituto Nacional de Pesquisas da Amaz?nia, Universidade Federal do Amazonas ? UFAM,","Unknown","2006"
"Universidad Nacional de Colombia, Signal Processing and Recognition Group","Unknown","3000"
"Nutrition and Exercise","Unknown","3000"
"S A R","Unknown","3000"
"A Corpus-Based Approach for Building Semantic Lexicons","InProceedingsoftheSecondConferenceonEmpiricalMethodsinNaturalLanguageProcessing","1997"
"Inferring Internet Denial-of-Service Activity","InProceedingsofthe10thUsenixSecuritySymposium","2001"
"Universidade Federal de Minas Gerais","Unknown","2003"
"Differential alteration in intestinal epithelial cell expression of toll-like receptor 3 (TLR3) and TLR4 in inflammatory bowel disease. Infect Immun 2000;68:7010?17","Unknown","3000"
"A Survey of Augmented Reality","Unknown","1997"
"Statistical Parsing with a Context-free Grammar and Word Statistics","Unknown","1997"
"eGrupo de Materiales Avanzados para Micro y Nanotecn","Unknown","3000"
"Shape modeling with front propagation: A level set approach","IEEETransactionsonPatternAnalysisandMachineIntelligence","1995"
"On a confusion about a function of consciousness","THISEXCERPTFROMCONSCIOUSNESS,FUNCTION,ANDREPRESENTATION","2007"
"The Data Grid: Towards an Architecture for the Distributed Management and Analysis of Large Scientific Datasets","JOURNALOFNETWORKANDCOMPUTERAPPLICATIONS","1999"
"Sharing Features: Efficient Boosting Procedures for Multiclass Object Detection","INCVPR","2004"
"Universidad Industrial de Santander","Unknown","2013"
"Universidad de Castilla-La","Unknown","3000"
"Bioremediation of Explosive Nitro-Compounds, Nitrocellulose and PAHs","Unknown","3000"
"Herpesvirus assembly and egress","J.Virol.76:1537","2002"
"Structure and Strength in Causal  Induction","Unknown","3000"
"SNOPT: An SQP Algorithm For Large-Scale Constrained Optimization","Unknown","2002"
"The University of Florida sparse matrix collection","NADIGEST","1997"
"Krylov Projection Methods For Model Reduction","Unknown","1997"
"The TRMM Multi-satellite Precipitation Analysis: Quasi-Global, Multi-Year, Combined-Sensor Precipitation Estimates at Fine Scale","J.Hydrometeor","2007"
"A calculus of mobile processes, I","Unknown","1992"
"Design and Evaluation of a Wide-Area Event Notification Service","ACMTransactionsonComputerSystems","3000"
"FINANCIAL RISK ASSESSMENT OF DIFFERENT INVENTORY POLICIES","Unknown","3000"
"THE DECLINES OF THE WILD RABBIT (ORYCTOLAGUS CUNICULUS) AND THE IBERIAN LYNX (LYNX PARDINUS) IN SPAIN: REDIRECTING CONSERVATION EFFORTS","Unknown","3000"
"Directed Diffusion for Wireless Sensor Networking","IEEE/ACMTransactionsonNetworking","2003"
"Filling Holes In Complex Surfaces Using Volumetric Diffusion","Unknown","2001"
"Compilation of tRNA sequences and sequences of tRNA genes","NucleicAcidsRes","1998"
"Agency costs of free cash flow, corporate finance and takeovers","AmericanEconomicReview","1986"
"ISMEC GROUP?SERIES","Unknown","3000"
"Workers? education, spillovers and productivity: evidence from plant- level production functions. American Economic Review 94","Unknown","3000"
"Proof-Carrying Code","Unknown","1997"
"The SWISS-PROT protein sequence database and its supplement TrEMBL in 2000","NucleicAcidsRes","2000"
"How practical is network coding?","Unknown","2006"
"Interactions of Bacteroides fragilis and phagocytes: studies with whole organisms, purified capsular polysaccharide and clindamycin-treated bacteria","JournalofAntimicrobialChemotherapy","1983"
"Molecular Targeting With Cancer Vaccines","Unknown","2005"
"Cover Sheet Title","Unknown","3000"
"Phase and antigenic variation in bacteria","Clin.Microbiol.Rev","2004"
"Streptococcus pneumoniae: virulence factors, pathogenesis, and vaccines","Unknown","1995"
"SEE PROFILE","Unknown","3000"
"Odontolog?a. Universidad de Santiago de Compostela.","Unknown","3000"
"HiCloud: Taming Clouds on the Clouds","Unknown","3000"
"Fe(lll)-EDTA","Unknown","3000"
"Clouds","Unknown","3000"
"Ej ercito de los Andes 950. (5700)","Unknown","3000"
"Mobile Sensor Network Deployment using Potential Fields: A Distributed, Scalable Solution to the Area Coverage Problem","Unknown","2002"
"Macroscopic strings as heavy quarks in large N gauge theory and Anti-de Sitter supergravity","PHYS.J.C22","3000"
"A multilinear singular value decomposition","SIAMJ.MatrixAnal.Appl","2000"
"The Structure of Foreign Trade","Unknown","1999"
"Face recognition: features versus templates","IEEETransactionsonPatternAnalysisandMachineIntelligence","1993"
"Gene selection for cancer classification using support vector machines","MachineLearning","3000"
"Latin America Working Group Report Citizen Security in Latin America","Unknown","3000"
"RESEARCH ARTICLE 0","Unknown","3000"
"The log of Gravity","THEREVIEWOFECONOMICSANDSTATISTICS","2005"
"JP: Conformational changes induced in the human immunodeficiency virus envelope glycoprotein by soluble CD4 binding","JExpMed","1991"
"A modular three-dimensional finite-difference ground-water flow model","U.S.GeologicalSurveyTechniquesofWaterResourcesInvestigationsBook6,ChapterA1","1988"
"ORTHOGONAL GRIDS ON MEANDER-LIKE REGIONS ?","Unknown","3000"
"Efficient long-term gene transfer into muscle tissue of immunocompetent mice by adeno-associated virus vector","J","1996"
